Fragility_no,Infrastructure_class,Infrastructure_subclass,Metadata_description,Metadata_region,Metadata_author,Hazard_type,IM,IM_unit,Fragility_development_method,Fragility_distribution,No_of_damage_state,Damage_state_1,Damage_state_med_1,Damage_state_std_1,Damage_state_2,Damage_state_med_2,Damage_state_std_2,Damage_state_3,Damage_state_med_3,Damage_state_std_3,Damage_state_4,Damage_state_med_4,Damage_state_std_4,Fragility_description,Fragility_polynomial,Damage_state_5,Damage_state_med_5,Damage_state_std_5,,Ranking_score_IM,Ranking_score_NDS,Ranking_score_Region,Ranking_score_Normalized,Infrastructure_image,Metadata_file_name,Dispersion_type
221,water system,water treatment plant,Large water treatment plant with unanchored subcomponents,USA,"FEMA. (2010). Earthquake Loss Estimation Methodology: Technical and Users Manual. Department of Homeland Security, Federal Emergency Management Agency, Washington, D.C.",earthquake,PGA,g,Heuristic,Lognormal,4,Slight,0.22,0.4,Moderate,0.35,0.4,Extensive,0.87,0.45,Complete,1.57,0.45,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
222,water system,water treatment plant,Large water treatment plant with anchored subcomponents,USA,"FEMA. (2010). Earthquake Loss Estimation Methodology: Technical and Users Manual. Department of Homeland Security, Federal Emergency Management Agency, Washington, D.C.",earthquake,PGA,g,Heuristic,Lognormal,4,Slight,0.44,0.4,Moderate,0.58,0.4,Extensive,0.87,0.45,Complete,1.57,0.45,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
223,water system,wells,Well with anchored subcomponents,USA,"FEMA. (2010). Earthquake Loss Estimation Methodology: Technical and Users Manual. Department of Homeland Security, Federal Emergency Management Agency, Washington, D.C.",earthquake,PGA,g,Heuristic,Lognormal,4,Slight,0.15,0.75,Moderate,0.36,0.65,Extensive,0.72,0.65,Complete,1.5,0.8,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
224,water system,water pumping plant,Water Pump,USA,"Hwang, H. H. M., Lin, H., and Shinozuka, M. (1998). Seismic Performance Assessment of Water Delivery Systems. Journal of Infrastructure Systems, 4(3), 1181-25. DOI: 10.1061/(ASCE)1076-0342(1998)4:3(118)",earthquake,PGA,g,Heuristic,Normal,1,Failure,0.18,0.5,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,
225,water system,water pumping plant,Water Pump,USA,"Hwang, H. H. M., Lin, H., and Shinozuka, M. (1998). Seismic Performance Assessment of Water Delivery Systems. Journal of Infrastructure Systems, 4(3), 1181-25. DOI: 10.1061/(ASCE)1076-0342(1998)4:3(118)",earthquake,PGA,g,Heuristic,Normal,1,Failure,0.22,0.5,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,
226,water system,water pumping plant,Water Pump,USA,"Hwang, H. H. M., Lin, H., and Shinozuka, M. (1998). Seismic Performance Assessment of Water Delivery Systems. Journal of Infrastructure Systems, 4(3), 1181-25. DOI: 10.1061/(ASCE)1076-0342(1998)4:3(118)",earthquake,PGA,g,Heuristic,Normal,1,Failure,0.3,0.5,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,
227,water system,water pumping plant,Water Pump,USA,"Hwang, H. H. M., Lin, H., and Shinozuka, M. (1998). Seismic Performance Assessment of Water Delivery Systems. Journal of Infrastructure Systems, 4(3), 1181-25. DOI: 10.1061/(ASCE)1076-0342(1998)4:3(118)",earthquake,PGA,g,Heuristic,Normal,1,Failure,0.45,0.5,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/CLiP_TBA.PNG,,
228,water system,wells,Anchored components (low-rise R/C building with low level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.16,0.7,Moderate,0.18,0.65,Extensive,0.3,0.65,Complete,0.4,0.75,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
229,water system,wells,Anchored components (low-rise R/C building with high level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.25,0.55,Moderate,0.45,0.5,Extensive,0.85,0.55,Complete,2.1,0.7,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
230,water system,wells,,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.15,0.75,Moderate,0.36,0.65,Extensive,0.72,0.65,Complete,1.5,0.8,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
231,water system,water treatment plant,water treatment plants with anchored components,Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.15,0.3,Moderate,0.3,0.25,Extensive,0.55,0.6,Complete,0.9,0.55,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
232,water system,water treatment plant,Small water treatment plants (10-50  (mgd)) and Anchored sub-components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.25,0.5,Moderate,0.38,0.5,Extensive,0.53,0.6,Complete,0.83,0.6,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
233,water system,water treatment plant,Small water treatment plants (10-50  (mgd)) and Unanchored sub-components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.16,0.4,Moderate,0.27,0.4,Extensive,0.53,0.6,Complete,0.83,0.6,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
234,water system,water treatment plant,Large water treatment plants (>200 mgd)  and Anchored sub-components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.44,0.4,Moderate,0.58,0.4,Extensive,0.87,0.45,Complete,1.57,0.45,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
235,water system,water treatment plant,Large water treatment plants (>200 mgd)  and  Unanchored sub-components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.22,0.4,Moderate,0.35,0.4,Extensive,0.87,0.45,Complete,1.57,0.45,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
236,water system,pumping station,Anchored components (low-rise R/C building with low level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.1,0.55,Moderate,0.15,0.55,Extensive,0.3,0.7,Complete,0.4,0.75,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
237,water system,pumping station,Anchored components (low-rise R/C building with high level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.15,0.3,Moderate,0.3,0.35,Extensive,1.1,0.55,Complete,2.1,0.7,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
238,water system,pumping station,Small pumping station (<10 mgd) and Anchored components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.15,0.7,Moderate,0.36,0.65,Extensive,0.66,0.65,Complete,1.5,0.8,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
239,water system,pumping station,Small pumping station (<10 mgd) and Unanchored components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.13,0.6,Moderate,0.28,0.5,Extensive,0.66,0.65,Complete,1.5,0.8,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
240,water system,pumping station,"Medium/large pumping station
(>10 mgd)  and Anchored components",USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.15,0.75,Moderate,0.36,0.65,Extensive,0.77,0.65,Complete,1.5,0.8,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
241,water system,water storage tank,Anchored R/C at grade tanks (wave propagation),USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2- Appendices,  ASCE-FEMA, p 239",earthquake,PGA,g,Empirical,Lognormal,4,Uplift of wall-crush concrete,1.3,0.5,Cracking or shearing of tank wall,1.6,0.5,Sliding,1.1,0.5,Hoop overstress,4.1,0.5,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
242,water system,water storage tank,Unanchored R/C at grade tanks (wave propagation),USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGA,g,Empirical,Lognormal,4,Cracking or shearing of tank wall,1.05,0.45,Roof damage,2.6,0.45,Uplift of wall-crush concrete,2,0.45,Sliding,0.2,0.45,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
243,water system,reservoirs,Open reservoirs with or without seismic design (wave propagation),USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGA,g,Empirical,Lognormal,2,Roof damage and minor,0.6,0.55,Roof damage and extensive,1,0.55,,,,,,,None,,,,,,0.75,0.5,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
244,water system,water storage tank,R/C Unanchored  at grade tanks,USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGD,m,Empirical,Lognormal,1,No operational,0.06,0.5,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
245,water system,water storage tank,Steel at columns tanks,USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGD,m,Empirical,Lognormal,1,No operational,0.06,0.5,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
246,water system,water storage tank,Steel at grade tanks,USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGD,m,Empirical,Lognormal,1,No operational,0.09,0.5,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
247,water system,water storage tank,Wooden without roof  at grade tanks,USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGD,m,Empirical,Lognormal,1,No operational,0.09,0.5,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
248,water system,wells,Anchored components (low-rise R/C building with low level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.16,0.7,Moderate,0.18,0.65,Extensive,0.3,0.65,Complete,0.4,0.75,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
249,water system,wells,Anchored components (low-rise R/C building with high level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.25,0.55,Moderate,0.45,0.5,Extensive,0.85,0.55,Complete,2.1,0.7,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
250,water system,water treatment plant,Medium water treatment plants (50-200 mgd) and Anchored sub-components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.37,0.4,Moderate,0.52,0.4,Extensive,0.73,0.5,Complete,1.28,0.5,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
251,water system,water treatment plant,Medium water treatment plants (50-200 mgd) and Unanchored sub-components,USA,FEMA (2003) HAZUSMH MR4 multi-hazard loss estimation methodology  earthquake model  technical manual,earthquake,PGA,g,Heuristic,Lognormal,4,Minor,0.2,0.4,Moderate,0.35,0.4,Extensive,0.75,0.5,Complete,1.28,0.5,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
252,water system,pumping station,Anchored components (low-rise R/C building with low level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.1,0.55,Moderate,0.15,0.55,Extensive,0.3,0.7,Complete,0.4,0.75,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
253,water system,pumping station,Anchored components (low-rise R/C building with high level seismic design),Greece,"SRMLIFE (2007) Development of a global methodology for the vulnerability assessment and risk management of lifelines, infrastructures and critical facilities. Application to the metropolitan area of Thessaloniki. Research project, General Secretariat for Research and Technology, Greece",earthquake,PGA,g,Empirical,Lognormal,4,Minor,0.15,0.3,Moderate,0.3,0.35,Extensive,1.1,0.55,Complete,2.1,0.7,None,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
254,water system,water storage tank,Anchored R/C at grade tanks (wave propagation),USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2- Appendices,  ASCE-FEMA, p 239",earthquake,PGA,g,Empirical,Lognormal,4,Uplift of wall-crush concrete,1.3,0.5,Cracking or shearing of tank wall,1.6,0.5,Sliding,1.1,0.5,Hoop overstress,4.1,0.5,None,,,,,,0.75,1,0.5,0.75,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
255,water system,water storage tank,R/C Unanchored  at grade tanks,USA,"American Lifelines Alliance (2001a) Seismic fragility formulations for water systems. Part 1 - Guideline, ASCE-FEMA, p 104  and American Lifelines Alliance (2001b) Seismic fragility formulations for water systems. Part 2-
Appendices,  ASCE-FEMA, p 239",earthquake,PGD,m,Empirical,Lognormal,1,No operational,0.06,0.5,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
256,water system,buried pipeline,Concrete/Steel-Rubber Gasket,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.8 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
257,water system,buried pipeline,Cast-Iron Pipe,USA,Thomas Dennis O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,0.050 * (PGV/(D**1.138))**0.865,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
258,water system,buried pipeline,Concrete/Steel-Lap,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.7 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
259,water system,buried pipeline,Ductile-Iron Pipe,USA,Thomas Dennis O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,0.004 * (PGV/(D**0.468))**1.378,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
260,water system,buried pipeline,Concrete/Steel-Cement,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.0 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
261,water system,buried pipeline,Asbestos-Cement Pipe(1995),USA,Thomas Dennis O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,exp(-4.59 *log(D) + 8.96),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
262,water system,buried pipeline,AsbestosCement-RubberGasket,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.5 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
263,water system,buried pipeline,Asbestos-Cement Pipe,USA,Thomas Dennis O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,exp(2.26 * log(PGV)- 11.01),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
264,water system,buried pipeline,Asbestos Cement-Cement,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.0 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
265,water system,buried pipeline,Welded Steel-Screwed,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.3 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
266,water system,buried pipeline,Welded Steel-Riveted,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.3 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
267,water system,buried pipeline,Welded Steel-Lap-All-Large,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.2 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
268,water system,buried pipeline,Welded Steel-Rubber Gasket,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.7 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
269,water system,buried pipeline,Ductile Iron,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.5 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
270,water system,buried pipeline,,USA,Michael O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,0.3 * 0.00003 * (PGV)**2.65,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
271,water system,buried pipeline,PVC,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.5 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
272,water system,buried pipeline,Welded Steel-Lap-Noncorrosive,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.3 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
273,water system,buried pipeline,,USA,Michael O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,1.0 * 0.00003 * (PGV)**2.65,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
274,water system,buried pipeline,Cast-iron-Rubber Gasket-All,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.8 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
275,water system,buried pipeline,Cast-iron-Cement-Noncorrosive,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.7 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
276,water system,buried pipeline,Cast-iron-Cement-Corrosive,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.4 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
277,water system,buried pipeline,Cast-iron-Cement-All,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.0 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
278,water system,buried pipeline,Welded Steel-Lap-Corrosive,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.9 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
279,water system,buried pipeline,Welded Steel-Lap-All,USA,John M. Eidinger,earthquake,PGV,in/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.6 * 0.00187 * (PGV),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
280,water system,buried pipeline,ductile pipeline PGD,USA,Douglas G. Honegger,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.3 * (D) * (PGD)**(0.56),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
281,water system,buried pipeline,brittle pipeline PGV,USA,Michael O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,1.0 * 0.0001 * (PGV)**2.25,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
282,water system,buried pipeline,brittle pipeline PGD,USA,Douglas G. Honegger,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,(D) * (PGD)**(0.56),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
283,water system,buried pipeline,ductile pipeline PGV,USA,Michael O'Rourke,earthquake,PGV,cm/s,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/Km,0.3 * 0.0001 * (PGV)**2.25,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
284,water system,buried pipeline,Cast-iron-Cement,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.0 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
285,water system,buried pipeline,Cast iron-Rubber gasket,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.8 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
286,water system,buried pipeline,Cast iron-Mechanical restrained,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.7 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
287,water system,buried pipeline,Welded Steel-Lap-Noncorrosive-Large,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.15 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
288,water system,buried pipeline,Welded Steel-Rubber Gasket,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.7 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
289,water system,buried pipeline,AsbestosCement-RubberGasket,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.8 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
290,water system,buried pipeline,Asbestos Cement-Cement,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.0 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
291,water system,buried pipeline,Concrete-steel-cylindrical-welded-Welded,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,0.6 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
292,water system,buried pipeline,Concrete-steel-cylindrical-welded-Cement,USA,ALA 2001,earthquake,PGD,in,Empirical,Polynomial,1,,,,,,,,,,,,,Repairs/1000ft,1.0 * 1.06 * (PGD**0.319),,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,
